category	n_genes	n_diseases	sample_genes
hereditary disease	2174	1816	A4GALT, AARS1, AASS, ABAT, ABCA3, ABCA4, ABCB4, ABCB6, ABCC1, ABCC8...
nervous system disease	1081	549	AARS1, ABAT, ABCA4, ABCC1, ABCD1, ABHD12, ACO2, ACSL4, ACTA1, ACTB...
hereditary neurological disease	867	514	AARS1, ABAT, ABCA4, ABCC1, ABCD1, ABHD12, ACO2, ACSL4, ACTA1, ACTB...
syndromic disease	644	526	ABCB4, ABCC9, ABCG5, ABCG8, ABHD12, ACTB, ACTG1, ADAR, ADAT3, ADGRV1...
metabolic disease	597	454	A4GALT, AARS1, AASS, ABCB4, ABCC8, ABCD1, ABCD3, ABCD4, ABCG5, ABCG8...
developmental disorder	566	393	ABCC9, ACE, ACTB, ACTG1, ACVR1, ACVRL1, ADAM17, ADAMTS19, ADAR, ADNP...
musculoskeletal system disease	385	321	ABCC9, ACADVL, ACAN, ACTA1, ACTC1, ACTN2, ACVR1, AGA, ALPK3, ALX1...
uncategorized	241	36	AARS2, ABCB7, ABCC4, ACO2, ADA2, AGK, APOL1, ASB10, ATP5MK, ATP5PO...
immune system disease	239	214	ADA, ADAMTS13, AICDA, AIRE, AK2, AP3B1, ARHGEF1, ATM, B2M, BACH2...
cardiovascular disease	229	82	ABCC8, ABCC9, ACADVL, ACTA2, ACTC1, ACTN2, ACVR1, ACVRL1, ADAM17, ADAMTS19...
autosomal recessive disease	196	149	ABHD12, ACAT1, ADGRV1, ADK, AFG2B, AHI1, AICDA, ALMS1, ALPL, ANKS6...
neurodevelopmental disorder	182	113	AARS1, ABAT, ACSL4, ADK, ADNP, AFF2, AHDC1, ALG13, ANKRD11, ARHGEF9...
malformation syndrome	173	147	ABCC9, ACTB, ACTG1, ADNP, ANKRD11, ANTXR1, ARID1A, ARID1B, ARID2, ASXL1...
eye disease	172	164	ABCA4, ABCB6, ADAM9, ADAMTS18, AGBL5, AIPL1, ANGPT1, ARHGEF18, ARSB, ATF6...
autosomal dominant disease	150	125	ABCC1, ACVRL1, ADNP, AKT1, ALG5, ALG8, ALG9, ALPL, ANKRD11, APC...
hematopoietic system disease	118	110	ABCB6, ABCC6, ACVR1, AGPAT2, AKT1, AKT2, ALAD, ALAS2, ALX4, ANAPC1...
congenital nervous system disorder	103	97	ACTA1, ACTB, ACTG1, ADGRG1, ADNP, AGRN, ANKRD11, APC2, ARF1, ARFGEF2...
respiratory system disease	84	77	ABCA3, CASR, CCDC39, CCDC40, CCNO, CFAP221, CFAP298, CFAP300, CFAP46, CFAP54...
kidney disease	84	71	ACE, ALG5, ALG6, ALG8, ALG9, ANKS6, APOA4, ARHGDIA, ATP6V1B1, AVIL...
endocrine system disease	77	65	ABCB4, ABCC8, ABCD1, AIRE, ALAD, ALAS2, ALB, ANOS1, APPL1, ATM...
cardiogenetic disease	66	42	ACADVL, ACTN2, B3GLCT, BRAF, CACNA1D, CALM1, CALM2, CALM3, CASQ2, CHD7...
neoplasm	56	36	APC, ATRIP, BLM, BRIP1, BUB1, CASR, CDC73, CDKN1B, CEBPA, CHEK2...
hereditary connective tissue disorder	45	52	ADAR, C1QA, CASR, CDC73, COL2A1, DNASE1L3, DOCK11, ELF4, EMILIN1, EXT1...
cancer	35	22	APC, ATRIP, BLM, BRIP1, BUB1, CDKN1B, CEBPA, CHEK2, CTNNA1, EGFR...
psychiatric disorder	33	32	ABCD1, ARSA, ATP13A2, ATXN2, C19orf12, C9orf72, CAMTA1, CHCHD10, CHMP2B, CP...
reproductive system disease	27	24	AK7, ANOS1, ARMC2, ATM, BRIP1, CFAP43, CFAP47, CHD7, CLPP, DCAF17...
auditory system disease	13	8	C3, CFB, CFH, CFI, COL4A3, COL4A4, COL4A5, DGKE, F12, MYH2...
liver disease	12	12	ABCB4, ALAD, ALAS2, BLVRA, FECH, HMBS, PHKG2, PPOX, PRKCSH, SEC61B...
bone disease	10	8	AK7, ARMC2, CFAP43, CFAP47, DNAH1, DNAH10, DNAH12, DNAH17, DNAH6, DNAH8
skin disease	2	2	RFC1, TSHZ1
X-linked disease	1	1	FMR1
gastrointestinal system disease	0	0	
infectious disease	0	0	
